instruction,input,output
"In Lexer OpsData Pyspark transform codes, import all the required libraries used in Lexer DataOps transfrom. The libraries are pyspark, data toolkit, typing, and others.",,"# IMPORTANT: Make sure you only import functions as per requirements.
# This default set is all that is required for 99% of transforms.

import hashlib  
import json  
from datetime import datetime  

from pyspark.sql import types as T  
from pyspark.sql import functions as F  
from pyspark.sql import DataFrame, Column  
from pyspark.sql.utils import AnalysisException
from pyspark.sql.window import Window
from py4j.protocol import Py4JJavaError

from typing import List, Dict, Any, Optional 
from data_toolkit import cde_record
from data_toolkit import transform_helpers
from data_toolkit.config import RecordTypes, TransformJobConfig
from data_toolkit.schema_mapping import MappingConfig, SchemaMapping
from data_toolkit.s3_helpers import S3Utils 
from pydantic import BaseModel, root_validator  "
"In Lexer OpsData Pyspark transform codes, Load all spark and dbutils module in Lexer DataOps transform",,"dbutils, spark = get_modules()"
"In Lexer OpsData Pyspark transform codes,, Create a job initialization class for Lexer DataOps transform called HackoweenJobConfig. The class will inherit from TransformJobConfig, these are the mandatory parameters: region, bucket, export_bucket, client, dataset_id, file_days_ago and load_style. The mandatory parameter will be a string type. Other parameters can be optional. The purpose of this class is to store config parameters for Lexer DataOps transform",HackoweenJobConfig,"class HackoweenJobConfig(TransformJobConfig):
    # These are mandatory parameters. Don't pass a default value to them
    # Define the types using the sticky pydantic widget at the to top of the notebook.
    region: str 
    bucket: str 
    export_bucket: str
    client: str 
    dataset_id: str
    file_days_ago: Optional[int] = 2
    load_style: Optional[str]
"
"In Lexer OpsData Pyspark transform codes, create a Config instance from dbutils using HackoweenJobConfig job initialization class",,Config=HackoweenJobConfig.from_dbutils(dbutils) 
"In Lexer OpsData Pyspark transform codes, print all config in the Config instance",,"for config in Config:
    print(config)"
"In Lexer OpsData Pyspark transform codes, create a customer schema in consisting of all attributes needed from the Customer API. The attibute type will be string and it can be a Null value","email	
email_sha256	
mobile	
first_name	
last_name	
full_name	
gender	
customer_id	
communication_opt_in	
date_of_birth	
birth_month	
birth_day	
birth_year	
country	
state	
city	
postcode	
zip	
employee_flag	
customer_type	
address_1	
address_2","customer_schema = T.StructType([
    T.StructField(""email"", StringType(), True),
    T.StructField(""email_sha256"", StringType(), True),
    T.StructField(""mobile"", StringType(), True),
    T.StructField(""first_name"", StringType(), True),
    T.StructField(""last_name"", StringType(), True),
    T.StructField(""full_name"", StringType(), True),
    T.StructField(""gender"", StringType(), True),
    T.StructField(""customer_id"", StringType(), True),
    T.StructField(""communication_opt_in"", StringType(), True),
    T.StructField(""date_of_birth"", StringType(), True),  
    T.StructField(""birth_month"", IntegerType(), True),
    T.StructField(""birth_day"", IntegerType(), True),
    T.StructField(""birth_year"", IntegerType(), True),
    T.StructField(""country"", StringType(), True),
    T.StructField(""state"", StringType(), True),
    T.StructField(""city"", StringType(), True),
    T.StructField(""postcode"", StringType(), True),
    T.StructField(""zip"", StringType(), True),
    T.StructField(""employee_flag"", StringType(), True),
    T.StructField(""customer_type"", StringType(), True),
    T.StructField(""address_1"", StringType(), True),
    T.StructField(""address_2"", StringType(), True)
])"
"In Lexer OpsData Pyspark transform codes, load all SFTP JSON file that has a file pattern from the S3 bucket. SFTP files means files that are always in /imports and the file pattern is always /imports/{year}/{month}/{date}/ ",*_user.json,"customer_source = spark.read.format(""json"").load(f""s3://{Configs.bucket}/imports/*/*/*/*_user.json"")"
"In Lexer OpsData Pyspark transform codes, if Configs.load_style == ""HISTORIC"", we load all available SFTP files for files",*_user.json,"if Configs.load_style == ""HISTORIC"":
  customer_source = spark.read.format(""json"").load(f""s3://{Configs.bucket}/imports/*/*/*/*_user.json"")"
"In Lexer OpsData Pyspark transform codes, this is non-historic load when we load SFTP files using Configs.file_days_ago",*_user.json,"customer_source = spark.read.format(""json"").load([f""{path}*_user.json"" for path in Configs.latest_avail_dirs(Configs.file_days_ago) if S3Utils.path_exists(f""{path}*_user.json"")], schema=customer_schema)"
"In Lexer OpsData Pyspark transform codes, use ""path_exists"" function from data_toolkit to check if ""{path}*_user.json"" exists in the S3 bucket",*_user.json,"from data_toolkit.s3_helpers import S3Utils S3Utils.path_exists(f""{path}*_user.json"")"
"In Lexer OpsData Pyspark transform codes, check if load_style is historic. If yes, read all SFTP file",*_user.json,"if Configs.load_style == ""HISTORIC"":
  customer_source = spark.read.format(""json"").load(f""s3://{Configs.bucket}/imports/*/*/*/*_user.json"")"
"In Lexer OpsData Pyspark transform codes, for any Lexer DataOps transform, we always do this. We first check if Config.load_style == ""HISTORIC"", if true, we load all SFTP files. Otherwise, we only load the most recent files using file_days_ago",*_user.json,"if Configs.load_style == ""HISTORIC"":
  customer_src = spark.read.format(""json"").load(f""s3://{Configs.bucket}/imports/*/*/*/*_user.json"")

else:
  customer_src = spark.read.format(""json"").load([f""{path}*_user.json"" for path in Configs.latest_avail_dirs(Configs.file_days_ago) if S3Utils.path_exists(f""{path}*_user.json"")], schema=customer_schema)
"
"In Lexer OpsData Pyspark transform codes, load all SFTP CSV file that has a file pattern from the S3 bucket. SFTP files means files that are always in /imports and the file pattern is always /imports/{year}/{month}/{date}/ ",*_user.csv,"customer_source = spark.read.format(""csv"").load(f""s3://{Configs.bucket}/imports/*/*/*/*_user.csv"")"
"In Lexer OpsData Pyspark transform codes, if Configs.load_style == ""HISTORIC"", we load all available SFTP files for files",*_user.csv,"if Configs.load_style == ""HISTORIC"":
  customer_source = spark.read.format(""csv"").load(f""s3://{Configs.bucket}/imports/*/*/*/*_user.csv"")"
